epoch,accuracy,loss,lr,precision,recall,top_2_accuracy,val_accuracy,val_loss,val_precision,val_recall,val_top_2_accuracy
8,0.9615673422813416,0.4159660041332245,1e-05,0.969660222530365,0.9502378702163696,0.9948046803474426,0.9907768964767456,0.40391454100608826,0.9911221861839294,0.9900674223899841,0.9992905259132385
9,0.9791745543479919,0.37475094199180603,1e-05,0.9828830361366272,0.973246157169342,0.9979478716850281,0.9957431554794312,0.3325117230415344,0.9957416653633118,0.9953884482383728,1.0
10,0.9816827774047852,0.3701968193054199,1e-05,0.9849866032600403,0.9773504734039307,0.9984039068222046,0.9978715777397156,0.318013072013855,0.9982250332832336,0.9975168704986572,0.9996452927589417
11,0.9854069948196411,0.3603683114051819,1e-05,0.9872294664382935,0.9812267422676086,0.9985558986663818,0.9982263445854187,0.3098941445350647,0.9982263445854187,0.9982263445854187,1.0
12,0.9870030879974365,0.3546443581581116,1e-05,0.9889304637908936,0.9845709800720215,0.9988599419593811,0.998581051826477,0.30632394552230835,0.998581051826477,0.998581051826477,1.0
13,0.9879911541938782,0.35313674807548523,1e-05,0.9899228811264038,0.9855590462684631,0.999087929725647,0.998581051826477,0.3063300848007202,0.998581051826477,0.998581051826477,1.0
14,0.9878391623497009,0.3511084020137787,1e-05,0.9902215600013733,0.9851790070533752,0.9989359378814697,0.998581051826477,0.30468422174453735,0.998581051826477,0.998581051826477,0.9996452927589417
15,0.991335391998291,0.34371131658554077,1e-05,0.9926005005836487,0.9889792799949646,0.999087929725647,0.9982263445854187,0.3038003146648407,0.9982263445854187,0.9982263445854187,1.0
16,0.9908793568611145,0.34369295835494995,1e-05,0.9923768639564514,0.9894352555274963,0.9991639256477356,0.9982263445854187,0.3038930594921112,0.9982256889343262,0.9978715777397156,1.0
17,0.9903473258018494,0.34373587369918823,1e-05,0.9919158220291138,0.9885232448577881,0.9992399215698242,0.9978715777397156,0.3027132749557495,0.9978715777397156,0.9978715777397156,1.0
18,0.9923234581947327,0.3401550352573395,1e-05,0.993071436882019,0.991335391998291,0.9994679689407349,0.9975168704986572,0.30091291666030884,0.9975168704986572,0.9975168704986572,1.0
19,0.9931595325469971,0.3397706151008606,1e-05,0.9939818978309631,0.9917154312133789,0.9991639256477356,0.9975168704986572,0.30099964141845703,0.9975168704986572,0.9975168704986572,1.0
20,0.9941475987434387,0.33483201265335083,1e-05,0.9948217868804932,0.9929315447807312,0.9995439648628235,0.9978715777397156,0.30136391520500183,0.9978708028793335,0.9975168704986572,1.0
21,0.993539571762085,0.33588457107543945,1e-05,0.9947420358657837,0.9921714663505554,0.9995439648628235,0.9978715777397156,0.3011510968208313,0.9978715777397156,0.9978715777397156,1.0
